date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:10:41	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Apr%202026%2012:10:42%20GMT	https://dreamgf-ai.com/terms.html	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/terms.html	(from https://dreamgf-ai.com/)
09:10:42	4962/4962	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2012:10:42%20GMT	https://dreamgf-ai.com/terms	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/terms.html	(from https://dreamgf-ai.com/)
09:10:42	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2030%20Apr%202026%2012:10:43%20GMT	https://dreamgf-ai.com/affiliate-disclosure.html	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/affiliate-disclosure.html	(from https://dreamgf-ai.com/)
09:10:42	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.2e.delayed	(from https://dreamgf-ai.com/fr/)
09:10:42	4846/4846	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202026%2012:10:43%20GMT	https://dreamgf-ai.com/affiliate-disclosure	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/affiliate-disclosure.html	(from https://dreamgf-ai.com/)
09:10:42	30584/30584	---M--	200	added ('OK')	image/webp	etag:%2298c0b4ee98d475a7e06fa2ffacfb66a6%22	https://dreamgf-ai.com/images/banner.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/banner.webp	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.30.delayed	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.31.delayed	(from https://dreamgf-ai.com/fr/)
09:10:43	144602/144602	---M--	200	added ('OK')	image/webp	etag:%222bcba941b2fdfce3e5dda98cc0fbc923%22	https://dreamgf-ai.com/images/model-blonde.webp	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/images/model-blonde.webp	(from https://dreamgf-ai.com/fr/)
09:10:43	0/-1	---M--	302	error ('')			https://dreamgf-ai.com/go/dreamgf	C:/Users/stoec/Desktop/affi%20project/mon%20site/dreamgf-ai.com/go/dreamgf.33.delayed	(from https://dreamgf-ai.com/fr/)
